Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"ul. Domaniewska, Ksawerów, Mokotów, Warszawa, mazowieckie",650000.0,31.0,pełna własność,1,do zamieszkania,2,650.0,miejskie,wtórny,biuro nieruchomości,1975,blok,1,Mokotów,20968.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"pl. Plac Przymierza, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",985000.0,47.04,pełna własność,2,do wykończenia,2,609.0,miejskie,wtórny,biuro nieruchomości,1941,kamienica,0,Praga-Południe,20940.0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
"ul. Konińska, Skorosze, Ursus, Warszawa, mazowieckie",800000.0,53.86,spółdzielcze wł. prawo do lokalu,3,do wykończenia,2,867.0,miejskie,wtórny,prywatny,1963,blok,0,Ursus,14853.0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",649000.0,36.8,pełna własność,2,do zamieszkania,6,600.0,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,1,Ursus,17636.0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
"ul. Radziwie, Młynów, Wola, Warszawa, mazowieckie",699000.0,36.27,pełna własność,2,do zamieszkania,5,278.0,miejskie,wtórny,prywatny,2010,apartamentowiec,1,Wola,19272.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0
"ul. Radziwie 5, Młynów, Wola, Warszawa, mazowieckie",940000.0,47.0,pełna własność,2,do zamieszkania,3,650.0,miejskie,wtórny,biuro nieruchomości,2014,blok,1,Wola,20000.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"ul. Mołdawska, Rakowiec, Ochota, Warszawa, mazowieckie",538000.0,28.0,pełna własność,1,do zamieszkania,2,630.0,miejskie,wtórny,biuro nieruchomości,1973,blok,1,Ochota,19214.0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0
"ul. Staszowska, Wyględów, Mokotów, Warszawa, mazowieckie",1630000.0,90.7,pełna własność,5,do zamieszkania,3,1200.0,miejskie,wtórny,prywatny,1997,blok,0,Mokotów,17971.0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0
"Siekierki, Mokotów, Warszawa, mazowieckie",2159000.0,100.39,pełna własność,4,do zamieszkania,0,1490.0,miejskie,wtórny,biuro nieruchomości,2018,apartamentowiec,1,Mokotów,21506.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ul. Egipska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",769000.0,46.5,pełna własność,3,do zamieszkania,2,820.0,miejskie,wtórny,prywatny,1973,blok,0,Praga-Południe,16538.0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0
