Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1695000.0,73.59,pełna własność,3,do zamieszkania,4,1100.0,miejskie,wtórny,prywatny,2014,blok,1,Żoliborz,23033.0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
"ul. Wojciecha Chrzanowskiego, Grochów, Praga-Południe, Warszawa, mazowieckie",777000.0,41.5,pełna własność,2,do zamieszkania,0,520.0,miejskie,wtórny,biuro nieruchomości,2016,apartamentowiec,1,Praga-Południe,18723.0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0
"ul. Zygmunta Modzelewskiego, Wierzbno, Mokotów, Warszawa, mazowieckie",680000.0,36.7,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,1,800.0,miejskie,wtórny,biuro nieruchomości,1970,plomba,0,Mokotów,18529.0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"ul. Frascati, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",2250000.0,83.5,pełna własność,3,do zamieszkania,4,1200.0,miejskie,wtórny,biuro nieruchomości,1965,blok,0,Śródmieście,26946.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"ul. Grójecka, Rakowiec, Ochota, Warszawa, mazowieckie",690000.0,46.0,pełna własność,2,do zamieszkania,1,890.0,miejskie,wtórny,biuro nieruchomości,1964,blok,0,Ochota,15000.0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0
"ul. Baboszewska, Wierzbno, Mokotów, Warszawa, mazowieckie",650000.0,36.6,pełna własność,1,do zamieszkania,4,520.0,miejskie,wtórny,prywatny,1956,blok,0,Mokotów,17760.0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0
"ul. Dębicka, Górce, Bemowo, Warszawa, mazowieckie",1250000.0,76.1,pełna własność,3,do zamieszkania,1,1200.0,miejskie,wtórny,biuro nieruchomości,2008,apartamentowiec,1,Bemowo,16426.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1900000.0,70.0,pełna własność,3,do zamieszkania,3,1012.0,miejskie,wtórny,prywatny,1950,kamienica,0,Śródmieście,27143.0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0
"ul. Grochowska, Kamionek, Praga-Południe, Warszawa, mazowieckie",1060000.0,65.3,pełna własność,3,do zamieszkania,4,950.0,gazowe,wtórny,biuro nieruchomości,1937,kamienica,0,Praga-Południe,16233.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0
"pl. Plac Jana Henryka Dąbrowskiego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",539000.0,25.26,pełna własność,1,do remontu,0,480.0,miejskie,wtórny,biuro nieruchomości,1962,blok,1,Śródmieście,21338.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Byczyńska, Gocławek, Praga-Południe, Warszawa, mazowieckie",840000.0,64.64,pełna własność,3,do remontu,1,500.0,miejskie,wtórny,biuro nieruchomości,2008,szeregowiec,0,Praga-Południe,12995.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Warszawa, Ursus, Niedzwiadek, Niedźwiadek, Ursus, Warszawa, mazowieckie",575000.0,39.0,pełna własność,2,do zamieszkania,2,450.0,miejskie,wtórny,prywatny,1980,blok,1,Ursus,14744.0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0
"ul. Człuchowska, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",800000.0,40.0,pełna własność,2,do zamieszkania,6,450.0,miejskie,wtórny,prywatny,2020,apartamentowiec,1,Bemowo,20000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ul. Żeglugi Wiślanej, Kobiałka, Białołęka, Warszawa, mazowieckie",690000.0,53.0,pełna własność,3,do zamieszkania,3,660.0,kotłownia,wtórny,prywatny,2011,blok,0,Białołęka,13019.0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
"Mirów, Wola, Warszawa, mazowieckie",1399000.0,52.0,pełna własność,2,do zamieszkania,0,750.0,miejskie,pierwotny,prywatny,2024,apartamentowiec,1,Wola,26904.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie",1450000.0,86.39,pełna własność,3,do wykończenia,4,1400.0,miejskie,pierwotny,prywatny,2023,apartamentowiec,1,Bielany,16784.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Adama Mickiewicza, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",2312200.0,105.1,pełna własność,3,do remontu,3,890.0,inne,wtórny,biuro nieruchomości,1927,kamienica,0,Żoliborz,22000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Graniczna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",619000.0,27.0,pełna własność,1,do zamieszkania,1,620.0,miejskie,wtórny,prywatny,1973,blok,1,Śródmieście,22926.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"ul. 1 Maja, Skorosze, Ursus, Warszawa, mazowieckie",800000.0,53.86,pełna własność,3,do remontu,2,850.0,miejskie,wtórny,biuro nieruchomości,1963,blok,0,Ursus,14853.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ul. Bukietowa, Wierzbno, Mokotów, Warszawa, mazowieckie",677000.0,36.5,spółdzielcze wł. prawo do lokalu,1,do remontu,3,700.0,miejskie,wtórny,biuro nieruchomości,1960,blok,0,Mokotów,18548.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Jutrzenki, Salomea, Włochy, Warszawa, mazowieckie",1079000.0,61.23,pełna własność,3,do zamieszkania,2,899.0,miejskie,wtórny,biuro nieruchomości,2020,apartamentowiec,1,Włochy,17622.0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1
"Mieczysława Wajnberga, Mirów, Wola, Warszawa, mazowieckie",889000.0,39.0,pełna własność,2,do zamieszkania,10,590.0,miejskie,wtórny,biuro nieruchomości,1969,blok,1,Wola,22795.0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
"ul. Klasyków, Henryków, Białołęka, Warszawa, mazowieckie",718000.0,45.0,pełna własność,2,do zamieszkania,3,550.0,miejskie,wtórny,biuro nieruchomości,2014,apartamentowiec,1,Białołęka,15956.0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0
"ul. Cecylii Śniegockiej, Solec, Śródmieście, Warszawa, mazowieckie",1300000.0,52.33,pełna własność,2,do wykończenia,5,780.0,miejskie,wtórny,biuro nieruchomości,1936,kamienica,1,Śródmieście,24842.0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1
"ul. Bohaterów Warszawy, Skorosze, Ursus, Warszawa, mazowieckie",1050000.0,66.25,pełna własność,3,do zamieszkania,3,1060.0,miejskie,wtórny,prywatny,2006,apartamentowiec,1,Ursus,15849.0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
"ul. Turmoncka, Bródno, Targówek, Warszawa, mazowieckie",849000.0,51.15,pełna własność,2,do zamieszkania,7,723.0,miejskie,wtórny,biuro nieruchomości,2001,apartamentowiec,1,Targówek,16598.0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0
"ul. Pańska, Mirów, Wola, Warszawa, mazowieckie",875000.0,39.06,pełna własność,2,do zamieszkania,10,500.0,miejskie,wtórny,biuro nieruchomości,1974,blok,1,Wola,22401.0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0
"ul. Wólczyńska, Chomiczówka, Bielany, Warszawa, mazowieckie",1369000.0,80.0,pełna własność,4,do zamieszkania,0,1200.0,miejskie,wtórny,biuro nieruchomości,2022,apartamentowiec,1,Bielany,17112.0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"Gocław, Praga-Południe, Warszawa, mazowieckie",1096000.0,78.0,pełna własność,5,do zamieszkania,2,650.0,miejskie,wtórny,prywatny,1979,blok,0,Praga-Południe,14051.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"ul. Okrąg, Solec, Śródmieście, Warszawa, mazowieckie",950000.0,42.7,pełna własność,1,do zamieszkania,1,900.0,miejskie,wtórny,prywatny,1930,kamienica,0,Śródmieście,22248.0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"ul. Międzynarodowa 64, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",795000.0,39.8,pełna własność,2,do zamieszkania,2,741.0,miejskie,wtórny,prywatny,1970,blok,1,Praga-Południe,19975.0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
"ul. Josepha Conrada, Chomiczówka, Bielany, Warszawa, mazowieckie",899000.0,68.74,spółdzielcze wł. prawo do lokalu,5,do zamieszkania,10,1350.0,miejskie,wtórny,biuro nieruchomości,1976,blok,1,Bielany,13078.0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0
"ul. Christa Botewa, Tarchomin, Białołęka, Warszawa, mazowieckie",745000.0,58.0,pełna własność,2,do wykończenia,6,900.0,miejskie,wtórny,biuro nieruchomości,2009,szeregowiec,1,Białołęka,12845.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ul. Stefana Okrzei 24, Stara Praga, Praga-Północ, Warszawa, mazowieckie",1300000.0,66.0,pełna własność,2,do zamieszkania,4,785.0,miejskie,wtórny,prywatny,2010,kamienica,1,Praga-Północ,19697.0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
"ul. Elżbiety Rakuszanki, Gołąbki, Ursus, Warszawa, mazowieckie",1140000.0,76.4,pełna własność,4,do zamieszkania,6,900.0,miejskie,wtórny,biuro nieruchomości,2009,blok,1,Ursus,14921.0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"ul. Chełmska, Sielce, Mokotów, Warszawa, mazowieckie",789000.0,49.35,pełna własność,2,do zamieszkania,0,600.0,miejskie,wtórny,biuro nieruchomości,1953,kamienica,0,Mokotów,15988.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie",900000.0,43.79,pełna własność,2,do zamieszkania,1,800.0,miejskie,wtórny,biuro nieruchomości,2003,blok,1,Mokotów,20553.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Osiecka, Gocławek, Praga-Południe, Warszawa, mazowieckie",710000.0,48.0,pełna własność,2,do zamieszkania,0,630.0,miejskie,wtórny,biuro nieruchomości,1958,kamienica,0,Praga-Południe,14792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie",899000.0,45.2,pełna własność,1,do zamieszkania,4,825.0,miejskie,wtórny,biuro nieruchomości,2001,apartamentowiec,1,Praga-Północ,19889.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"ul. Edwarda Dembowskiego, Ursynów Północny, Ursynów, Warszawa, mazowieckie",1495000.0,73.9,pełna własność,4,do zamieszkania,3,1360.0,miejskie,wtórny,biuro nieruchomości,1980,blok,0,Ursynów,20230.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"al. Aleja Wilanowska, Ksawerów, Mokotów, Warszawa, mazowieckie",1690000.0,66.0,pełna własność,2,do zamieszkania,7,1200.0,inne,wtórny,biuro nieruchomości,2007,apartamentowiec,1,Mokotów,25606.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"ul. Powstańców Śląskich, Górce, Bemowo, Warszawa, mazowieckie",1460000.0,89.1,pełna własność,4,do zamieszkania,5,915.0,miejskie,wtórny,biuro nieruchomości,2007,apartamentowiec,0,Bemowo,16386.0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Kąty Grodziskie, Grodzisk, Białołęka, Warszawa, mazowieckie",770000.0,58.99,pełna własność,4,do wykończenia,1,600.0,miejskie,pierwotny,prywatny,2024,blok,0,Białołęka,13053.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ul. Szczęsna, Stare Włochy, Włochy, Warszawa, mazowieckie",1900000.0,123.0,pełna własność,5,do zamieszkania,0,2036.0,kotłownia,wtórny,prywatny,2015,szeregowiec,0,Włochy,15447.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"ul. Mordechaja Anielewicza, Nowolipki, Wola, Warszawa, mazowieckie",509000.0,26.83,pełna własność,1,do remontu,8,393.0,miejskie,wtórny,biuro nieruchomości,1962,blok,1,Wola,18971.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Wiśniowa, Stary Mokotów, Mokotów, Warszawa, mazowieckie",1750000.0,88.0,pełna własność,4,do zamieszkania,0,1240.0,miejskie,wtórny,biuro nieruchomości,1936,kamienica,0,Mokotów,19886.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",550000.0,44.4,pełna własność,2,do zamieszkania,7,700.0,miejskie,wtórny,biuro nieruchomości,2002,blok,1,Białołęka,12387.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ul. Ludwika Narbutta, Stary Mokotów, Mokotów, Warszawa, mazowieckie",675000.0,41.0,pełna własność,2,do zamieszkania,5,590.0,miejskie,wtórny,biuro nieruchomości,1938,blok,0,Mokotów,16463.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"ul. Władysława Okińskiego, Rakowiec, Ochota, Warszawa, mazowieckie",629216.0,37.1,spółdzielcze wł. prawo do lokalu,2,do remontu,3,615.0,miejskie,wtórny,biuro nieruchomości,1971,blok,0,Ochota,16960.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Skorosze, Ursus, Warszawa, mazowieckie",2089850.0,85.3,pełna własność,5,do zamieszkania,1,726.0,miejskie,wtórny,prywatny,2023,apartamentowiec,1,Ursus,24500.0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1240000.0,61.0,pełna własność,2,do zamieszkania,2,773.0,miejskie,wtórny,biuro nieruchomości,2008,apartamentowiec,1,Wilanów,20328.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"Muranów, Śródmieście, Warszawa, mazowieckie",519000.0,18.0,pełna własność,1,do wykończenia,0,180.0,miejskie,wtórny,biuro nieruchomości,1956,kamienica,0,Śródmieście,28833.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Stara Ochota, Ochota, Warszawa, mazowieckie",719000.0,31.0,pełna własność,1,do zamieszkania,3,400.0,miejskie,wtórny,biuro nieruchomości,2018,apartamentowiec,1,Ochota,23194.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie",817000.0,69.0,pełna własność,3,do zamieszkania,3,699.0,miejskie,wtórny,prywatny,2009,apartamentowiec,1,Białołęka,11841.0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0
"ul. Zwierzyniecka, Czerniaków, Mokotów, Warszawa, mazowieckie",549000.0,29.0,pełna własność,2,do wykończenia,4,568.22,miejskie,wtórny,biuro nieruchomości,1981,blok,1,Mokotów,18931.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Powsinek, Wilanów, Warszawa, mazowieckie",1345000.0,63.5,pełna własność,3,do zamieszkania,1,1100.0,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,1,Wilanów,21181.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ul. Orla, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1077000.0,42.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,1,740.0,miejskie,wtórny,prywatny,1965,blok,0,Śródmieście,25643.0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
"ul. Janusza Meissnera, Gocław, Praga-Południe, Warszawa, mazowieckie",995000.0,76.4,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,3,1100.0,miejskie,wtórny,prywatny,2001,blok,1,Praga-Południe,13024.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"Wiktoryn, Stare Włochy, Włochy, Warszawa, mazowieckie",430000.0,18.7,pełna własność,1,do zamieszkania,5,395.0,miejskie,wtórny,biuro nieruchomości,2022,kamienica,1,Włochy,22995.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Bródno, Targówek, Warszawa, mazowieckie",725000.0,40.8,pełna własność,2,do zamieszkania,0,550.0,miejskie,wtórny,prywatny,2023,apartamentowiec,1,Targówek,17770.0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
"Stary Imielin, Ursynów, Warszawa, mazowieckie",749000.0,36.32,pełna własność,2,do zamieszkania,4,430.0,miejskie,wtórny,biuro nieruchomości,2023,blok,1,Ursynów,20622.0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"ul. ks. Jana Sitnika, Koło, Wola, Warszawa, mazowieckie",730000.0,44.0,spółdzielcze wł. prawo do lokalu,2,do remontu,2,753.0,miejskie,wtórny,biuro nieruchomości,1950,blok,0,Wola,16591.0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
"Zawady, Wilanów, Warszawa, mazowieckie",1399000.0,106.0,pełna własność,4,do zamieszkania,2,1100.0,gazowe,wtórny,biuro nieruchomości,2006,blok,0,Wilanów,13198.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ul. Syreny, Młynów, Wola, Warszawa, mazowieckie",920000.0,48.0,pełna własność,3,do remontu,6,600.0,miejskie,wtórny,biuro nieruchomości,1960,plomba,1,Wola,19167.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Portowa, Żerań, Białołęka, Warszawa, mazowieckie",900000.0,75.3,pełna własność,3,do zamieszkania,3,864.0,miejskie,wtórny,biuro nieruchomości,1995,blok,0,Białołęka,11952.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"ul. Kacpra Karlińskiego, Odolany, Wola, Warszawa, mazowieckie",2000000.0,87.7,pełna własność,4,do zamieszkania,2,1100.0,miejskie,wtórny,prywatny,2023,apartamentowiec,1,Wola,22805.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"ul. Sulejkowska, Grochów, Praga-Południe, Warszawa, mazowieckie",429000.0,36.0,pełna własność,2,do zamieszkania,-1,365.0,elektryczne,wtórny,prywatny,1936,kamienica,0,Praga-Południe,11917.0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0
"ul. Grawerska, Nowy Rembertów, Rembertów, Warszawa, mazowieckie",719900.0,51.1,pełna własność,2,do zamieszkania,0,600.0,miejskie,wtórny,biuro nieruchomości,1987,blok,0,Rembertów,14088.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",1400000.0,82.16,pełna własność,4,do wykończenia,4,1148.0,miejskie,wtórny,biuro nieruchomości,2023,blok,0,Ursynów,17040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Służby Polsce, Ursynów Północny, Ursynów, Warszawa, mazowieckie",860000.0,53.0,pełna własność,2,do wykończenia,1,900.0,miejskie,wtórny,biuro nieruchomości,1995,apartamentowiec,1,Ursynów,16226.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Ulrychów, Wola, Warszawa, mazowieckie",999000.0,67.79,pełna własność,4,do remontu,1,700.0,miejskie,wtórny,biuro nieruchomości,1960,blok,0,Wola,14737.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ul. Targowa, Stara Praga, Praga-Północ, Warszawa, mazowieckie",1690000.0,61.5,pełna własność,2,do zamieszkania,1,693.0,miejskie,wtórny,biuro nieruchomości,2021,apartamentowiec,1,Praga-Północ,27480.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ul. Skierniewicka, Czyste, Wola, Warszawa, mazowieckie",950000.0,37.2,pełna własność,2,do zamieszkania,2,600.0,miejskie,wtórny,biuro nieruchomości,2017,apartamentowiec,1,Wola,25538.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"al. Aleja Komisji Edukacji Narodowej, Kabaty, Ursynów, Warszawa, mazowieckie",779000.0,39.8,pełna własność,2,do zamieszkania,1,600.0,miejskie,wtórny,prywatny,2010,blok,1,Ursynów,19573.0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"Młynów, Wola, Warszawa, mazowieckie",829000.0,32.0,pełna własność,2,do zamieszkania,5,470.0,miejskie,wtórny,biuro nieruchomości,2017,apartamentowiec,1,Wola,25906.0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Władysława Umińskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",785000.0,57.3,spółdzielcze wł. prawo do lokalu,3,do wykończenia,2,650.0,miejskie,wtórny,biuro nieruchomości,1983,blok,1,Praga-Południe,13700.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ul. Wacława Borowego, Jelonki Północne, Bemowo, Warszawa, mazowieckie",992000.0,66.2,spółdzielcze wł. prawo do lokalu,3,do zamieszkania,8,737.0,miejskie,wtórny,prywatny,1985,blok,1,Bemowo,14985.0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0
"ul. Wolska, Odolany, Wola, Warszawa, mazowieckie",499000.0,23.44,pełna własność,1,do zamieszkania,7,420.0,miejskie,wtórny,biuro nieruchomości,2019,apartamentowiec,1,Wola,21288.0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"Solec, Śródmieście, Warszawa, mazowieckie",968000.0,44.0,pełna własność,2,do zamieszkania,0,650.0,miejskie,wtórny,biuro nieruchomości,1967,blok,1,Śródmieście,22000.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ul. Leopolda Staffa, Słodowiec, Bielany, Warszawa, mazowieckie",1420000.0,54.0,pełna własność,3,do zamieszkania,0,1.0,gazowe,wtórny,biuro nieruchomości,1960,blok,0,Bielany,26296.0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie",1180000.0,53.35,pełna własność,3,do zamieszkania,2,1000.0,miejskie,wtórny,biuro nieruchomości,2015,blok,1,Mokotów,22118.0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
"ul. Pustola, Ulrychów, Wola, Warszawa, mazowieckie",695000.0,38.0,pełna własność,2,do zamieszkania,4,650.0,miejskie,wtórny,prywatny,1967,blok,0,Wola,18289.0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0
"ul. Esej, Chomiczówka, Bielany, Warszawa, mazowieckie",1050000.0,68.88,pełna własność,3,do remontu,3,1040.0,miejskie,wtórny,biuro nieruchomości,2001,blok,0,Bielany,15244.0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
"ul. Bitwy Warszawskiej 1920 r., Szczęśliwice, Ochota, Warszawa, mazowieckie",777000.0,46.0,pełna własność,2,do zamieszkania,1,870.0,miejskie,wtórny,biuro nieruchomości,1956,kamienica,1,Ochota,16891.0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0
"al. Aleja Władysława Reymonta, Wawrzyszew, Bielany, Warszawa, mazowieckie",489000.0,26.0,pełna własność,1,do zamieszkania,10,477.0,miejskie,wtórny,biuro nieruchomości,1974,plomba,0,Bielany,18808.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ul. Czerska, Sielce, Mokotów, Warszawa, mazowieckie",1115000.0,60.25,pełna własność,2,do zamieszkania,1,1170.0,miejskie,wtórny,prywatny,2005,apartamentowiec,1,Mokotów,18506.0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"ul. Racławicka, Wierzbno, Mokotów, Warszawa, mazowieckie",999000.0,50.47,pełna własność,2,do zamieszkania,1,900.0,miejskie,wtórny,biuro nieruchomości,1955,kamienica,0,Mokotów,19794.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ul. Edmunda Jana Osmańczyka, Fort Bema, Bemowo, Warszawa, mazowieckie",1800000.0,97.0,pełna własność,4,do zamieszkania,7,1500.0,miejskie,wtórny,prywatny,2006,apartamentowiec,1,Bemowo,18557.0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
"ul. Stanisława Lencewicza, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",745000.0,46.0,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,9,650.0,miejskie,wtórny,biuro nieruchomości,1982,blok,1,Bemowo,16196.0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
"Ulrychów, Wola, Warszawa, mazowieckie",735000.0,39.0,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,4,800.0,miejskie,wtórny,biuro nieruchomości,1952,kamienica,1,Wola,18846.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ul. Orzycka, Służew, Mokotów, Warszawa, mazowieckie",725000.0,52.1,pełna własność,3,do wykończenia,10,780.0,miejskie,wtórny,biuro nieruchomości,1970,blok,1,Mokotów,13916.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"ul. Wolska, Odolany, Wola, Warszawa, mazowieckie",475000.0,25.1,pełna własność,1,do zamieszkania,1,420.0,miejskie,wtórny,biuro nieruchomości,2018,apartamentowiec,1,Wola,18924.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"ul. Karola Dickensa, Szczęśliwice, Ochota, Warszawa, mazowieckie",599000.0,36.8,pełna własność,2,do remontu,1,550.0,miejskie,wtórny,biuro nieruchomości,1970,blok,0,Ochota,16277.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"ul. Sulejkowska 9, Grochów, Praga-Południe, Warszawa, mazowieckie",453000.0,28.0,pełna własność,1,do zamieszkania,1,280.0,miejskie,wtórny,prywatny,1939,kamienica,0,Praga-Południe,16179.0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0
"ul. Konstancińska, Sadyba, Mokotów, Warszawa, mazowieckie",1990000.0,123.0,spółdzielcze wł. prawo do lokalu,5,do remontu,3,1000.0,miejskie,wtórny,biuro nieruchomości,1995,apartamentowiec,0,Mokotów,16179.0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0
"ul. Rakowiecka, Stary Mokotów, Mokotów, Warszawa, mazowieckie",1472000.0,64.0,pełna własność,2,do zamieszkania,3,1000.0,miejskie,wtórny,biuro nieruchomości,1950,kamienica,0,Mokotów,23000.0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
"Zawady, Wilanów, Warszawa, mazowieckie",967500.0,45.0,pełna własność,2,do zamieszkania,0,480.0,miejskie,wtórny,biuro nieruchomości,2020,kamienica,0,Wilanów,21500.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"al. Aleja Jana Pawła II, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",765000.0,38.8,użytkowanie wieczyste / dzierżawa,2,do zamieszkania,6,560.0,miejskie,wtórny,biuro nieruchomości,1975,blok,1,Śródmieście,19716.0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
