Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Ogrzewanie,Certyfikat energetyczny,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,Link
"ul. Zaciszańska, Zacisze, Targówek, Warszawa, mazowieckie",950 000 zł,"58,72 m²",pełna własność,3,do zamieszkania,2/3,balkon,700 zł,garaż/miejsce parkingowe,gazowe,,wtórny,prywatny,,1995.0,blok,plastikowe,nie,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",pustak,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-zaciszu-ID4ruPH
"ul. Złotego Smoka, Szczęśliwice, Ochota, Warszawa, mazowieckie",589 000 zł,"26,9 m²",pełna własność,1,do zamieszkania,5/7,,,,miejskie,,wtórny,biuro nieruchomości,,2001.0,apartamentowiec,plastikowe,tak,,"monitoring / ochrona, domofon / wideofon",meble,oddzielna kuchnia,cegła,https://www.otodom.pl/pl/oferta/szczesliwice-kawalerka-spokojna-okolica-ID4qDiX
"ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie",1 050 000 zł,53 m²,pełna własność,2,do zamieszkania,6/6,balkon,611 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2016.0,blok,plastikowe,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowe-stylowe-mieszkanie-ID4ruPE
"ul. Browarna, Powiśle, Śródmieście, Warszawa, mazowieckie",839 000 zł,"33,78 m²",spółdzielcze wł. prawo do lokalu,2,do zamieszkania,3/5,balkon,"744,72 zł",,miejskie,,wtórny,prywatny,,1960.0,dom wolnostojący,plastikowe,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-srodmiescie-powisle-ID4qHA7
"ul. Przasnyska 9, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1 347 000 zł,"52,82 m²",pełna własność,3,do zamieszkania,1/3,"balkon, taras",760 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,,2017.0,apartamentowiec,drewniane,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,żelbet,https://www.otodom.pl/pl/oferta/przepiekne-3-pokoje-otoczone-zielenia-balkon-9-5-ID4ruP9
"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",1 126 872 zł,"69,56 m²",pełna własność,3,do wykończenia,5/6,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-balkon-bezposrednio-ID4nPrh
"Ulrychów, Wola, Warszawa, mazowieckie",719 000 zł,"43,43 m²",spółdzielcze wł. prawo do lokalu,2,do zamieszkania,3/4,balkon,450 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1965.0,blok,plastikowe,nie,,"drzwi / okna antywłamaniowe, domofon / wideofon","meble, piekarnik, kuchenka, pralka",piwnica,wielka płyta,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-wola-43-43-m-2pok-kasprzaka-ID4ruPd
"ul. Aluzyjna 6, Białołęka Dworska, Białołęka, Warszawa, mazowieckie",650 000 zł,"45,71 m²",pełna własność,2,do zamieszkania,2/4,balkon,499 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2019.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",piwnica,,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-na-bialolece-ID4ruPq
"Grodzisk, Białołęka, Warszawa, mazowieckie",1 045 000 zł,75 m²,pełna własność,3,do zamieszkania,2/2,balkon,1 100 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2009.0,blok,plastikowe,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",oddzielna kuchnia,cegła,https://www.otodom.pl/pl/oferta/klimatyczne-w-pelni-wyposazone-bezposrednio-ID4q7uQ
"ul. Sady Żoliborskie, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",430 000 zł,"20,31 m²",,1,,3/8,,500 zł,,,,wtórny,biuro nieruchomości,2024-07-10,1967.0,,,nie,,,,,,https://www.otodom.pl/pl/oferta/cicha-kawalerka-przy-parku-metro-tramwaje-ID4ruPb
"ul. Kmicica, Służew, Mokotów, Warszawa, mazowieckie",950 000 zł,58 m²,pełna własność,3,do wykończenia,1/10,balkon,900 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,,1975.0,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,żelbet,https://www.otodom.pl/pl/oferta/3-pokoje-58-m2-na-przy-metrze-ID4qZn8
"ul. Osikowa, Chomiczówka, Bielany, Warszawa, mazowieckie",950 000 zł,"47,43 m²",pełna własność,2,do zamieszkania,2/3,balkon,600 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,2016.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","oddzielna kuchnia, pom. użytkowe",beton komórkowy,https://www.otodom.pl/pl/oferta/jasne-ciche-mieszkanie-bielany-chomiczowka-ID4qf2j
"ul. Puławska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",840 000 zł,"42,29 m²",,1,do wykończenia,4/5,,480 zł,,miejskie,,wtórny,biuro nieruchomości,2024-06-21,1936.0,kamienica,drewniane,tak,,domofon / wideofon,"meble, lodówka, kuchenka",,cegła,https://www.otodom.pl/pl/oferta/wyjatkowe-studio-w-kamienicy-na-starym-mokotowie-ID4rcHp
"Kobiałka, Białołęka, Warszawa, mazowieckie",630 000 zł,44 m²,pełna własność,2,do zamieszkania,2/2,balkon,620 zł,garaż/miejsce parkingowe,gazowe,,wtórny,biuro nieruchomości,,2017.0,blok,plastikowe,tak,telewizja kablowa,"monitoring / ochrona, domofon / wideofon","lodówka, piekarnik, zmywarka, kuchenka",oddzielna kuchnia,,https://www.otodom.pl/pl/oferta/m3w-standardcicha-zielona-okolicagarazokazja-ID4r8nq
"ul. Franciszka Raszei, Koło, Wola, Warszawa, mazowieckie",720 000 zł,44 m²,pełna własność,2,do zamieszkania,parter/3,ogródek,852 zł,,miejskie,,wtórny,biuro nieruchomości,,1949.0,kamienica,plastikowe,nie,telewizja kablowa,"monitoring / ochrona, domofon / wideofon","meble, lodówka, piekarnik, zmywarka, kuchenka","piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/przy-parku-moczydlo-trojstronne-gotowe-po-remoncie-ID4r8ml
"ul. Suwalska, Bródno, Targówek, Warszawa, mazowieckie",774 000 zł,54 m²,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,4/4,balkon,880 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,2024-07-15,1970.0,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/2-pok-kuchnia-z-jadalnia-garderoba-metro-ID4rdtS
"Nowogrodzka 7/9, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1 800 000 zł,"85,55 m²",pełna własność,3,do wykończenia,3/4,,,,miejskie,,wtórny,biuro nieruchomości,,1930.0,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",,piwnica,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-srodmiesciu-ID4ruOK
"ul. Lewandów, Grodzisk, Białołęka, Warszawa, mazowieckie",611 900 zł,54 m²,,4,,,,,,,,pierwotny,biuro nieruchomości,,,,,nie,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-4pok-611tys-ID4qQwh
"Kobiałka, Białołęka, Warszawa, mazowieckie",770 000 zł,54 m²,,3,,1/3,,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2022.0,blok,,tak,,"system alarmowy, monitoring / ochrona, domofon / wideofon",,,,https://www.otodom.pl/pl/oferta/trzypokojowe-idealne-dla-ciebie-ID4rmIT
"ul. Lwa Tołstoja, Wawrzyszew, Bielany, Warszawa, mazowieckie",620 000 zł,"41,5 m²",spółdzielcze wł. prawo do lokalu,2,do remontu,6/10,balkon,390 zł,,,,wtórny,biuro nieruchomości,,1972.0,blok,plastikowe,nie,,domofon / wideofon,,"piwnica, oddzielna kuchnia",wielka płyta,https://www.otodom.pl/pl/oferta/2-pokoje-41-5-mkw-ul-lwa-tolstoja-ID4ruOA
"ul. Józefa Bema, Czyste, Wola, Warszawa, mazowieckie",Zapytaj o cenę,"52,47 m²",pełna własność,3,do wykończenia,7/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-52m2-balkon-bezposrednio-ID4ruoa
"ul. Lizbońska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",1 110 250 zł,"44,41 m²",,2,do wykończenia,4/5,balkon,600 zł,garaż/miejsce parkingowe,miejskie,,pierwotny,biuro nieruchomości,2024-12-01,2024.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",,,inny,https://www.otodom.pl/pl/oferta/osiedle-lizbonska-deweloperskie-cesja-ID4ruOk
"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",540 000 zł,27 m²,pełna własność,1,,,,360 zł,,,,wtórny,biuro nieruchomości,,1981.0,,plastikowe,tak,,,,,,https://www.otodom.pl/pl/oferta/praktycznie-centrum-warszawy-ul-chmielna-ID4ruOh
"ul. Jana Blatona, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",820 000 zł,"64,3 m²",,3,do remontu,10/11,,900 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-06-20,1991.0,blok,,tak,,domofon / wideofon,,piwnica,inny,https://www.otodom.pl/pl/oferta/ustawne-nowe-bemowo-3-pokojowe-ID4rbCj
"ul. Wojciecha Żywnego, Wierzbno, Mokotów, Warszawa, mazowieckie",629 000 zł,"36,3 m²",,2,do remontu,4/12,balkon,565 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-08-01,1970.0,blok,,tak,,domofon / wideofon,,piwnica,wielka płyta,https://www.otodom.pl/pl/oferta/super-inwestycja-blisko-metra-przy-parku-ID4rasr
"ul. Strońska, Górce, Bemowo, Warszawa, mazowieckie",880 000 zł,"66,7 m²",,3,do zamieszkania,3/4,balkon,800 zł,,miejskie,,wtórny,biuro nieruchomości,2024-06-20,1994.0,blok,plastikowe,nie,,domofon / wideofon,"lodówka, meble, piekarnik, kuchenka, pralka",pom. użytkowe,pustak,https://www.otodom.pl/pl/oferta/otulone-zielenia-ustawne-niska-zabudowa-ID4rbm9
"ul. Turecka, Sielce, Mokotów, Warszawa, mazowieckie",770 000 zł,38 m²,pełna własność,2,do zamieszkania,2/10,balkon,500 zł,,miejskie,,wtórny,prywatny,,1975.0,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,inny,https://www.otodom.pl/pl/oferta/mokotow-sielce-2-pokoje-po-remoncie-bezposrednio-ID4rfgH
"ul. Palestyńska, Bródno, Targówek, Warszawa, mazowieckie",1 569 400 zł,118 m²,spółdzielcze wł. prawo do lokalu,5,do zamieszkania,1/3,balkon,2 000 zł,garaż/miejsce parkingowe,,,wtórny,prywatny,,1997.0,blok,,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",,"piwnica, pom. użytkowe",,https://www.otodom.pl/pl/oferta/apartament-118-m2-na-zamknietym-cichym-osiedlu-ID4ruND
"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",610 000 zł,44 m²,pełna własność,2,do zamieszkania,parter/4,,689 zł,garaż/miejsce parkingowe,,,wtórny,prywatny,,1999.0,blok,,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka",pom. użytkowe,cegła,https://www.otodom.pl/pl/oferta/miejsca-postojowe-2-pokoje-w-pelni-wyposazone-ID4pWD1
"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",959 000 zł,38 m²,pełna własność,2,do zamieszkania,6/9,balkon,410 zł,,miejskie,,wtórny,biuro nieruchomości,,2018.0,blok,,tak,,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",klimatyzacja,,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-klimatyzacja-ID4ruNf
"ul. Jana Nowaka-Jeziorańskiego, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",1 079 000 zł,"54,26 m²",pełna własność,2,do zamieszkania,4/6,balkon,890 zł,garaż/miejsce parkingowe,,,wtórny,biuro nieruchomości,2024-07-10,2017.0,,plastikowe,tak,,,"zmywarka, lodówka, piekarnik, kuchenka, telewizor, pralka",,,https://www.otodom.pl/pl/oferta/nowe-budownictwo-obok-jeziorka-zadbane-osiedle-ID4ruN9
"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",1 439 000 zł,91 m²,pełna własność,4,do wykończenia,4/4,,1 340 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-05-13,1953.0,kamienica,drewniane,tak,,"monitoring / ochrona, domofon / wideofon",meble,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/metro-raclawicka-92-m2-kamienica-winda-ID4qu5i
"Gocław, Praga-Południe, Warszawa, mazowieckie",770 000 zł,"56,7 m²",pełna własność,2,,8/9,balkon,,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-04-08,2000.0,,,tak,,domofon / wideofon,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-56-7m2-praga-pld-goclaw-ID4q0Tq
"Szamoty, Ursus, Warszawa, mazowieckie",1 099 000 zł,"75,02 m²",pełna własność,4,do zamieszkania,2/7,balkon,1 000 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2020.0,blok,,tak,,,meble,,pustak,https://www.otodom.pl/pl/oferta/piekne-4-pok-75-m2-parking-ursus-szamoty-ID4pHsQ
"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",582 998 zł,"49,22 m²",pełna własność,2,do wykończenia,2/3,taras,,garaż/miejsce parkingowe,miejskie,,pierwotny,deweloper,,2025.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",,,silikat,https://www.otodom.pl/pl/oferta/ustawne-2-pokoje-z-loggia-ul-plochocinska-ID4ruN2
"Służewiec, Mokotów, Warszawa, mazowieckie",1 700 000 zł,"76,6 m²",pełna własność,3,do zamieszkania,2/2,,1 100 zł,,,,wtórny,biuro nieruchomości,2024-07-02,,,plastikowe,nie,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-mokotow-ID4ruN0
"ul. Anastazego Kowalczyka, Żerań, Białołęka, Warszawa, mazowieckie",700 000 zł,44 m²,pełna własność,2,do zamieszkania,5/13,balkon,750 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2015.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,cegła,https://www.otodom.pl/pl/oferta/mieszkanie-44-m2-z-balkonem-i-garazem-podziemnym-ID4ruMD
"ul. Żytnia 81, Młynów, Wola, Warszawa, mazowieckie",610 000 zł,"33,11 m²",pełna własność,2,do zamieszkania,7/7,,430 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,,,kamienica,plastikowe,tak,"telewizja kablowa, internet, telefon",,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-przy-metrze-ID4ruMO
"ul. Wilcza, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",1 700 000 zł,64 m²,,4,do zamieszkania,2/4,,,,,,wtórny,biuro nieruchomości,,1927.0,kamienica,,nie,,,,,cegła,https://www.otodom.pl/pl/oferta/mieszkanie-64-m-warszawa-ID4qCqi
"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",992 462 zł,"98,93 m²",pełna własność,4,do wykończenia,2/3,balkon,,garaż/miejsce parkingowe,miejskie,,pierwotny,deweloper,,2025.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",,,silikat,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-ii-pietro-ul-plochocinska-ID4ruMJ
"Wrzeciono, Bielany, Warszawa, mazowieckie",629 000 zł,"48,4 m²",,3,,1/4,balkon,700 zł,,miejskie,,wtórny,biuro nieruchomości,,1966.0,blok,drewniane,nie,telefon,,,piwnica,,https://www.otodom.pl/pl/oferta/ciche-3-pok-z-doskonalym-rozkladem-na-2-kawalerki-ID4ruMh
"ul. Powstańców Śląskich, Górce, Bemowo, Warszawa, mazowieckie",877 000 zł,"43,9 m²",spółdzielcze wł. prawo do lokalu,2,do zamieszkania,parter/4,,,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,1999.0,,plastikowe,nie,,"teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",,,,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-po-remoncie-600m-metro-bemowo-ID4rnSJ
"ul. Hoża 40, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",830 000 zł,"33,55 m²",pełna własność,2,do zamieszkania,2/6,balkon,330 zł,,miejskie,A,wtórny,biuro nieruchomości,,1963.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,"lodówka, meble, kuchenka, pralka","piwnica, oddzielna kuchnia",beton,https://www.otodom.pl/pl/oferta/srodmiescie-hoza-40-2-pokoje-z-balkonem-ID4qZRx
"Falenica, Wawer, Warszawa, mazowieckie",485 590 zł,"35,41 m²",,2,do wykończenia,parter/5,"ogródek, taras",,,miejskie,,pierwotny,deweloper,,2026.0,blok,plastikowe,tak,,"domofon / wideofon, monitoring / ochrona",,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-ogrodkiem-ul-poezji-ID4ruM5
"ul. Warzelnicza, Brzeziny, Białołęka, Warszawa, mazowieckie",980 000 zł,"71,55 m²",pełna własność,3,do zamieszkania,parter/2,"balkon, ogródek, taras",820 zł,garaż/miejsce parkingowe,inne,A+,wtórny,prywatny,,2020.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, pom. użytkowe",cegła,https://www.otodom.pl/pl/oferta/z-duzym-prywatnym-ogrodkiem-gotowe-do-wprowadzenia-ID4qo8o
"ul. Jana Olbrachta 7, Ulrychów, Wola, Warszawa, mazowieckie",999 000 zł,"53,5 m²",pełna własność,3,do zamieszkania,1/3,balkon,630 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,1960.0,blok,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-53-5m2-na-woli-bezposrednio-ID4qZRp
"ul. Trakt Lubelski, Zerzeń, Wawer, Warszawa, mazowieckie",849 000 zł,"71,74 m²",,3,,parter/1,,,,,,pierwotny,deweloper,,2025.0,,,nie,,teren zamknięty,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-3-pok-m3-ID4pPFo
"ul. Józefa Bema, Czyste, Wola, Warszawa, mazowieckie",Zapytaj o cenę,"56,5 m²",pełna własność,3,do wykończenia,7/7,balkon,,garaż/miejsce parkingowe,,,,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-2-balkony-ID4ruoi
"ul. Majdańska 13, Grochów, Praga-Południe, Warszawa, mazowieckie",900 000 zł,"62,5 m²",spółdzielcze wł. prawo do lokalu,3,do zamieszkania,> 10/16,balkon,1 150 zł,,miejskie,,wtórny,prywatny,,1980.0,blok,plastikowe,tak,internet,drzwi / okna antywłamaniowe,"lodówka, meble, piekarnik, kuchenka, pralka",,inny,https://www.otodom.pl/pl/oferta/bezposrenio-sprzedam-fajne-mieszkanie-62-5-m2-ID4rcaA
"Harmony Park, Wyczółki, Ursynów, Warszawa, mazowieckie",1 250 000 zł,"63,24 m²",pełna własność,3,do zamieszkania,parter/4,"balkon, ogródek, taras",,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,2019.0,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",pom. użytkowe,,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-ze-120m-ogrodem-na-ursynowie-ID4rjYv
"ul. Czorsztyńska, Koło, Wola, Warszawa, mazowieckie",489 500 zł,"26,44 m²",pełna własność,2,do wykończenia,2/3,balkon,460 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,,1950.0,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/2-pok-26-5-m2-powojenny-modernizm-zielen-ID4rbsi
"ul. Macieja Sarbiewskiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",1 190 000 zł,42 m²,,2,,1/3,,817 zł,,miejskie,,wtórny,biuro nieruchomości,,1947.0,kamienica,plastikowe,nie,,monitoring / ochrona,,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/perelka-park-zoliborz-dwa-pokoje-teatr-komedia-ID4ruLb
"ul. Mariana Zdziechowskiego, Ksawerów, Mokotów, Warszawa, mazowieckie",1 743 000 zł,"67,08 m²",pełna własność,3,do zamieszkania,2/6,balkon,700 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,,2023.0,blok,,tak,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, telewizor, pralka","klimatyzacja, pom. użytkowe",,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-prestizowej-lokalizacji-ID4raGw
"ul. Toruńska, Bródno, Targówek, Warszawa, mazowieckie",450 000 zł,27 m²,spółdzielcze wł. prawo do lokalu,1,do zamieszkania,3/4,,500 zł,,,,wtórny,biuro nieruchomości,,1968.0,blok,plastikowe,nie,,domofon / wideofon,meble,piwnica,cegła,https://www.otodom.pl/pl/oferta/kawalerka-przy-stacji-metra-brodno-torunska-ID4qE7S
"ul. Młynarska, Młynów, Wola, Warszawa, mazowieckie",1 220 000 zł,"64,4 m²",pełna własność,3,do zamieszkania,3/4,,1 000 zł,,,,wtórny,biuro nieruchomości,,1937.0,kamienica,plastikowe,nie,,"monitoring / ochrona, domofon / wideofon",meble,,cegła,https://www.otodom.pl/pl/oferta/3-pokoje-kamienica-mlynow-2-balkony-ID4pJp5
"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",1 160 000 zł,"52,2 m²",pełna własność,3,do zamieszkania,3/7,balkon,450 zł,garaż/miejsce parkingowe,miejskie,,wtórny,prywatny,,,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,pustak,https://www.otodom.pl/pl/oferta/mieszkanie-trzy-pokoje-ul-cybernetyki-mokotow-ID4pAON
"ul. Apartamentowa 12, Skorosze, Ursus, Warszawa, mazowieckie",410 000 zł,"31,2 m²",udział,1,do zamieszkania,3,,530 zł,,,,wtórny,prywatny,,2007.0,blok,plastikowe,nie,,teren zamknięty,"lodówka, meble, piekarnik, telewizor, pralka",,,https://www.otodom.pl/pl/oferta/sprzedam-31-2m2-ul-apartamentowa-tylko-gotowka-ID4qYx9
"ul. Wólczyńska, Chomiczówka, Bielany, Warszawa, mazowieckie",650 000 zł,36 m²,pełna własność,2,do zamieszkania,> 10,,,,miejskie,,wtórny,biuro nieruchomości,,2018.0,,,tak,,,meble,,,https://www.otodom.pl/pl/oferta/nowoczesne-ladne-mieszkanie-z-pieknym-widokiem-ID4r8xO
"Szamoty, Ursus, Warszawa, mazowieckie",668 000 zł,45 m²,,3,,,"balkon, taras",,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,,2025.0,apartamentowiec,plastikowe,tak,"telefon, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",,,cegła,https://www.otodom.pl/pl/oferta/idealne-na-start-dla-rodziny-2-1-ogrodek-ID4ruKd
"ul. Marymoncka, Wrzeciono, Bielany, Warszawa, mazowieckie",744 800 zł,49 m²,pełna własność,2,do zamieszkania,2/4,balkon,600 zł,,miejskie,,wtórny,biuro nieruchomości,,1970.0,blok,plastikowe,nie,internet,domofon / wideofon,"lodówka, meble, kuchenka, pralka",piwnica,cegła,https://www.otodom.pl/pl/oferta/dla-rodziny-lub-inwestycyjnie-ID4rgyZ
"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",549 000 zł,"44,5 m²",pełna własność,2,do zamieszkania,2/7,balkon,530 zł,,miejskie,,wtórny,biuro nieruchomości,2024-07-11,2002.0,blok,plastikowe,tak,"telewizja kablowa, internet",teren zamknięty,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,https://www.otodom.pl/pl/oferta/44-5m2-2-pok-z-balkonem-aluzyjna-od-zaraz-ID4ruK5
